keys,en,ru,uk
ITEM_INSECT_TURRET,Insect Turret,Мушиная Турель,Жучина Турель
ITEM_SLASHING_TURRET,Slashing Turret,Режущая Турель,Турель-Рубака
ITEM_SPIKY_BALL,Spiky Ball,Шипастая Сфера,Шипаста сфера
ITEM_CHAINSAW_MAN,Chainsaw Man,Человек Бензопила,Людина-бензопила
ITEM_JUST_CHAOS,Chaos,Хаос,Хаос
ITEM_GROM_COUPON,Grom's Coupon,Купон Грома,Купон Ґрома
ITEM_MONK_RELIC,Monk's relic,Реликвия Монка,Реліквія Монка
ITEM_RHINO_RELIC,Rhino's relic,Реликвия Носорога,Реліквія носорога
ITEM_SCALDING_BLANKET,Scalding Blanket,Обжигающее Одеяло,Ошпарювальна Ковдра
ITEM_MEGA_MUSH,Ultra Mush,Ультра Гриб,Ультра Гриб
ITEM_VURTFISH,Vurtfish,Вуртик,Вуртик
WEP_CLICK_FINGERS,Click Fingers,Пальцы Щёлка,Пальці Клаца
ITEM_JHNCONTRACTUN,John's Contract,Контракт Джона,Контракт Джона
ITEM_LIBRA,Libra,Весы,Ваги
ITEM_MAGICAL_PLANT,Magical Plant,Волшебное Растение,Чарівна рослина
ITEM_MEAT_AMULET,Meat Amulet,Мясной Амулет,М'ясний амулет
ITEM_OUROHANDS,Ourohands,Уро-руки,Уроруки
ITEM_RAD_HEART,Radioactive Heart,Радиоактивное Сердце,Радіоактивне серце
ITEM_SUPER_FAN,Mansion Super Fan,Супер Фан Особняка,Супер фан садиби
ITEM_SWARM,Swarm,Рой,Рій
ITEM_TANK_MUZZLE,Tank Muzzle,Дуло Танка,Дуло танка
WEP_KNIFE_THROWER,Knife Thrower,Метатель Ножей,Метальник ножів
WEP_VASILEK_BOW,Vasilek's Bow,Лук Василька,Лук Василька
DESC_DO_AGENT,Win a run with Agent,Пройти забег за Агента,Пройти забіг за Агента
DESC_DO_BEELZE,Win a run with Beelzebub,Пройти забег за Вельзевула,Пройти забіг за Вельзевула
DESC_DO_BIOPUNK,Win a run with Biopunk,Пройти забег за Биопанка,Пройти забіг за Біопанка
DESC_DO_LONGARMS,Win a run with Long Arms,Пройти забег за Длиннорукого,Пройти забіг за Довгорукого
DESC_DO_PEASANT,Win a run with Peasant,Пройти забег за Крестьянина,Пройти забіг за Селянина
DF_NAME_AGENT,Mission Complete,Миссия Выполнена,Завдання виконано
DESC_DF_AGENT,Beat danger 5 with Agent,Пройти угрозу 5 за Агента,Пройти складність 5 за Агента
DF_NAME_BEELZE,Locust God,Бог Саранчи,Бог сарани
DESC_DF_BEELZE,Beat danger 5 with Beelzebub,Пройти угрозу 5 за Вельзевула,Пройти складність 5 за Вельзевула
DF_NAME_BIOPUNK,Congratulations,Поздравляем,Вітаю
DESC_DF_BIOPUNK,Beat danger 5 with Biopunk,Пройти угрозу 5 за Биопанка,Пройти складність 5 за Біопанка
DF_NAME_BRAWLER,Knockout!,Нокаут!,Нокаут!
DESC_DF_BRAWLER,Beat danger 5 with Brawler,Пройти угрозу 5 за Драчуна,Пройти складність 5 за Забіяку
DESC_DF_CHUNKY,Beat danger 5 with Chunky,Пройти угрозу 5 за Толстяка,Пройти складність 5 за Кремезного
DF_NAME_LONGARMS,Daddy Long Arms,Папочка Длинные Руки,Тато довгі руки
DESC_DF_LONGARMS,Beat danger 5 with Long Arms,Пройти угрозу 5 за Длиннорукого,Пройти складність 5 за Довгорукого
DF_NAME_PEASANT,Riot!,Бунт!,Бунт!
DESC_DF_PEASANT,Beat danger 5 with Peasant,Пройти угрозу 5 за Крестьянина,Пройти складність 5 за Селянина
DF_NAME_WELL_ROUNDED,Fair and Balanced,Справедливо и Балансно,Справедливо і збалансовано
DESC_DF_WELL_ROUNDED,Beat danger 5 with Well Rounded,Пройти угрозу 5 за Сбалансированного,Пройти складність 5 за Збалансованого
SET_BIOLOGICAL,Biological,Биологическое,Біологічне
SET_HOMING,Homing,Самонаводится,Самонаводиться
SET_INSECT,Insect,Насекомое,Комаха
SET_TACTICAL,Tactical,Тактическое,Тактичне
WEP_ARMAGEDDON,Armageddon,Армагеддон,Армагедон
WEP_BEE_HIVE,Bee Hive,Пчелиный Улей,Бджолиний вулик
WEP_BIG_SPOON,Big Spoon,Большая Ложка,Велика Ложка
WEP_BOW,Bow,Лук,Лук
WEP_SEVERED_HAND,Severed Hand,Отрубленная Рука,Відрубана рука
WEP_DARK_MAGIC,Dark Magic Book,Книга Тёмной Магии,Книга темної магії
WEP_DICE_GUN,Dice Gun,Удачливая Пушка,Щасливий пістолет
WEP_MEAT_CLUB,Meat Club,Мясная Дубина,М'ясна дубина
WEP_FLARE_GUN,Flare Gun,Сигнальная Ракетница,Сигнальна ракетниця
WEP_GRENADE_LAUNCHER,Grenade Launcher,Гранатомёт,Гранатометник
WEP_JAVELIN,Javelin,Джавелин,Джавелін
WEP_ABUNDANCE_KNIFE,Knife Of Abundance,Кинжал Изобилия,Кинджал достатку
WEP_LEAFY_MACHINEGUN,Leafy's Machinegun,Лифин Пулемёт,Кулемет Ліфі
WEP_LIL_BROTATO,Lil Brotato,Крошка Бротошка,Крихітка бротопля
WEP_LOCUST_GUN,Locust Spreader,Распрыскиватель Саранчи,Розповсюджувач сарани
WEP_EYE_GUN,Eye Gun,Глазная Пушка,Очний пістолет
WEP_MEAT_ROD,Meat Rod,Мясной Жезл,М'ясний жезл
WEP_NECRORACCOON,Necro Raccoon,Енот Некромант,Єнот-некромант
WEP_TAXES,Taxes,Налоги,Податки
WEP_PITCHFORK,Pitchfork,Вилы,Вила
WEP_SNIPER_RIFLE,Sniper Rifle,Снайперская Винтовка,Снайперська гвинтівка
WEP_ABUNDANCE_STAFF,Staff Of Abundance,Посох Изобилия,Посох достатку
EFFECT_SUMMON,Summons a walking companion that shoots enemies for {0} ({1}) damage,Призывает передвигающегося компаньона который стреляет снаряды наносящие {0} ({1}) урона,"Закликає пішого компаньйона, який стріляє снарядами що завдають {0} ({1}) шкоди"
EFFECT_MEAT_SUM,Summons a walking companion that fires bouncing projectiles that deal {0} ({1}) damage,Призывает передвигающегося компаньона который стреляет снарядами которые рикошетят и наносят {0} ({1}) урона,"Закликає пішого компаньйона, який стріляє снарядами, що рикошетять та завдають {0} ({1}) шкоди"
EFFECT_MEAT_SUM_T2,Summons a walking companion that fires bouncing [color=#00ff00]2[/color] times projectiles that deal {0} ({1}) damage,Призывает передвигающегося компаньона который стреляет снарядами которые рикошетят [color=#00ff00]2[/color] раза и наносят {0} ({1}) урона,"Закликає пішого компаньйона, який стріляє снарядами, що рикошетять [color=#00ff00]2[/color] рази та завдають {0} ({1}) шкоди"
EFFECT_MEAT_SUM_T3,Summons a walking companion that fires bouncing [color=#00ff00]3[/color] times projectiles that deal {0} ({1}) damage,Призывает передвигающегося компаньона который стреляет снарядами которые рикошетят [color=#00ff00]3[/color] раза и наносят {0} ({1}) урона,"Закликає пішого компаньйона, який стріляє снарядами, що рикошетять [color=#00ff00]3[/color] рази та завдають {0} ({1}) шкоди"
EFFECT_MEAT_SUM_T4,Summons a walking companion that fires bouncing [color=#00ff00]4[/color] times projectiles that deal {0} ({1}) damage,Призывает передвигающегося компаньона который стреляет снарядами которые рикошетят [color=#00ff00]4[/color] раза и наносят {0} ({1}) урона,"Закликає пішого компаньйона, який стріляє снарядами, що рикошетять [color=#00ff00]4[/color] рази та завдають {0} ({1}) шкоди"
EFFECT_SLASH_SUM,Summons a walking companion that slashes enemies for {0} ({1}) damage,Призывает передвигающегося компаньона который режет врагов нанося {0} ({1}) урона,"Закликає пішого компаньйона, який ріже ворогів завдаючи {0} ({1}) шкоди"
EFFECT_COBRA_SUM,Summons a walking companion that fires [color=#00ff00]3[/color] projectiles that deal {0} ({1}) damage,Призывает передвигающегося компаньона который стреляет [color=#00ff00]3[/color] снарядами которые наносят {0} ({1}) урона,"Закликає пішого компаньйона, який стріляє [color=#00ff00]3[/color] снарядами, що завдають {0} ({1}) шкоди"
EFFECT_COBRA_SUM_T2,Summons a walking companion that fires [color=#00ff00]4[/color] projectiles that deal {0} ({1}) damage,Призывает передвигающегося компаньона который стреляет [color=#00ff00]4[/color] снарядами которые наносят {0} ({1}) урона,"Закликає пішого компаньйона, який стріляє [color=#00ff00]4[/color] снарядами, що завдають {0} ({1}) шкоди"
EFFECT_COBRA_SUM_T3,Summons a walking companion that fires [color=#00ff00]5[/color] projectiles that deal {0} ({1}) damage,Призывает передвигающегося компаньона который стреляет [color=#00ff00]5[/color] снарядами которые наносят {0} ({1}) урона,"Закликає пішого компаньйона, який стріляє [color=#00ff00]5[/color] снарядами, що завдають {0} ({1}) шкоди"
EFFECT_COBRA_SUM_T4,Summons a walking companion that fires [color=#00ff00]6[/color] projectiles that deal {0} ({1}) damage,Призывает передвигающегося компаньона который стреляет [color=#00ff00]6[/color] снарядами которые наносят {0} ({1}) урона,"Закликає пішого компаньйона, який стріляє [color=#00ff00]6[/color] снарядами, що завдають {0} ({1}) шкоди"
EFFECT_EXPO_SUM,Summons a walking companion that fires explosive homing rockets that deal {0} ({1}) damage,Призывает передвигающегося компаньона который стреляет взрывными самонаводящимися ракетами которые наносят {0} ({1}) урона,"Закликає пішого компаньйона, який стріляє вибуховими ракетами, що самонаводяться та завдають {0} ({1}) шкоди"
EFFECT_BRO_SUM,Summons a walking companion that shoots enemies for {0} ({1}) damage with [color=#00ff00]1[/color] piercing,Призывает передвигающегося компаньона который стреляет снаряды наносящие {0} ({1}) урона с [color=#00ff00]1[/color] пробиванием,"Закликає пішого компаньйона, який стріляє снарядами що завдають {0} ({1}) шкоди з [color=#00ff00]1[/color] пробиванням"
EFFECT_BRO_SUM_T2,Summons a walking companion that shoots enemies for {0} ({1}) damage with [color=#00ff00]2[/color] piercing,Призывает передвигающегося компаньона который стреляет снаряды наносящие {0} ({1}) урона с [color=#00ff00]2[/color] пробиванием,"Закликає пішого компаньйона, який стріляє снарядами що завдають {0} ({1}) шкоди з [color=#00ff00]2[/color] пробиванням"
EFFECT_BRO_SUM_T3,Summons a walking companion that shoots enemies for {0} ({1}) damage with [color=#00ff00]3[/color] piercing,Призывает передвигающегося компаньона который стреляет снаряды наносящие {0} ({1}) урона с [color=#00ff00]3[/color] пробиванием,"Закликає пішого компаньйона, який стріляє снарядами що завдають {0} ({1}) шкоди з [color=#00ff00]3[/color] пробиванням"
EFFECT_BRO_SUM_T4,Summons a walking companion that shoots enemies for {0} ({1}) damage with [color=#00ff00]4[/color] piercing,Призывает передвигающегося компаньона который стреляет снаряды наносящие {0} ({1}) урона с [color=#00ff00]4[/color] пробиванием,"Закликає пішого компаньйона, який стріляє снарядами що завдають {0} ({1}) шкоди з [color=#00ff00]4[/color] пробиванням"
SET_SUMMON,Summoning,Призывающее,Закликаюче
WEP_BROTATO_STAFF,Staff Of Brotatoes,Посох Бротошки,Посох бротоплі
WEP_MEAT_INSPECTOR,Meat Inspector,Мясной Инспектор,М'ясний інспектор
WEP_COBRA_STAFF,Staff Of Cobras,Посох Кобры,Посох кобри
CHAR_SUMMONER,Summoner,Призыватель,Закликач
EFFECT_SLASH_ON_HIT,Hitting an enemy spawns {0} slash attacks dealing {1} ({3}) damage,Попадание во врага создаёт {0} рубящих атак наносящих {1} ({3}) урона,"Попадання у ворога створює {0} ріжучих атак, що завдають {1} ({3}) шкоди"
WEP_PALADIN_SWORD,Paladin Sword,Меч Паладина,Меч паладина
SET_SLASHING,Slashing,Режущее,Ріжуче
WEP_KATANA,Katana,Катана,Катана
EFFECT_SUMMONS_COOLDOWN_REDUCTION,Reduces the attack cooldown of your summons by {0} ({1}),Ускоряет восстановление атаки ваших существ на {0} ({1}),Скорочує час між пострілами ваших міньйонів на {0} ({1})
WEP_SLIMY_CLUB,Slimy Club,Слизкая Дубина,Слизька дубина
DESC_DO_SUMMONER,Win a run with Summoner,Пройти забег за Призывателя,Пройти забіг за Закликача
DESC_DF_SUMMONER,Beat danger 5 with Summoner,Пройти угрозу 5 за Призывателя,Пройти складність 5 за Закликача
DF_NAME_SUMMONER,Sacrifices Must Be Made,Sacrifices Must Be Made,Sacrifices Must Be Made
ITEM_SACRIFICE,Sacrifice,Жертвоприношение,Жертвопринесення
WEP_BUTCHER_RELIC,Butcher's Relic,Реликвия Мясника,Реліквія м'ясника
ITEM_ROBOTICS,Robotics,Робототехника,Робототехніка
ITEM_SOLDIER_BOT,Soldier Bot,Солдат Бот,Бот-солдат
DF_NAME_ENGINEER,Nanomachines Son!,Nanomachines Son!,"Наномашини, синку!"
DESC_DF_ENGINEER,Beat danger 5 with Engineer,Пройти угрозу 5 за Инженера,Пройти складність 5 за Інженера
ITEM_CUBE_RICK,Rick The Cube,Ри-Куб,Ри-Куб
ITEM_GOLDEN_CHEST,Chest Of Gold,Сундук Полный Золота,Скриня повна золота
ITEM_ARTIFACT,Ancient Artifact,Древний Артефакт,Стародавній артефакт
WEP_POWER_HAMMER,Power-Hammer,Супер Молот,Супер Кувалда
WEP_CURSED_MIRROR,Cursed Mirror,Проклятое Зеркало,Прокляте дзеркало
CHAR_ILLUSIONIST,Illusionist,Иллюзионист,Ілюзіоніст
DESC_DO_ILLUSIONIST,Win a run with Illusionist,Пройти забег за Иллюзиониста,Пройти забіг за Ілюзіоніста
EFFECT_ILL_CLONE,Has [color=#00ff00]5[/color] clones that copy his weapons and scale from player stats,Имеет [color=#00ff00]5[/color] клонов которые копируют его оружие и характеристики,Має [color=#00ff00]5[/color] клонів які копіюють його зброю та характеристики
EFFECT_GHOST_SUM,Summons a roaming ghost that fires projectiles in all directions dealing [color=#f81919]{0}[/color] ({1}) damage to the player,Призывает бродячего призрака который стреляет снарядами во всех направлениях нанося игроку [color=#f81919]{0}[/color] ({1}) урона,Закликає мандрівного привиду який стріляє снарядами у всіх напрямках завдаючи гравцю [color=#f81919]{0}[/color] ({1}) шкоди
DF_NAME_ILLUSIONIST,We Are Illusionist,Мы Иллюзионист,Ми Ілюзіоніст
DESC_DF_ILLUSIONIST,Beat danger 5 with Illusionist,Пройти угрозу 5 за Иллюзиониста,Пройти складність 5 за Ілюзіоніста
ITEM_YOUR_CLONE,Your Clone,Твой Клон,Твій клон
EFFECT_CLONEBOT,Summons a clone that moves around the player copying two of your weapons. Scales from player stats,Призывает клона который перемещается около игрока копируя два ваших оружия и характеристики,Закликає клона який переміщається навколо гравця копіюючи дві ваші зброї та характеристики
EFFECT_SHADOW,Every {0} kills summons a dark copy of you that moves near you and cuts enemies with {1} katanas. Scales from player stats,Каждые {0} убийств вызывает вашу темную копию которая перемещается рядом с вами и режет врагов {1} катанами. Копия зависит от характеристик игрока,Кожні {0} вбивств викликає вашу темну копію яка переміщається поряд з вами і ріже ворогів {1} катанами. Копія залежить від характеристик гравця
WEP_SHADOW_KATANA,Shadow Katana,Теневая Катана,Тіньова катана
SET_HIGH_TECH,High Tech,Продвинутое,Просунуте
EFFECT_CLONE,Every {0} kills generates your clone that moves near you and shoots into enemies with 2 smgs. Scales from player stats,Каждые {0} убийств вызывает вашего клона который перемещается рядом с вами и стреляет во врагов двумя пистолетами пулемётами. Копия зависит от характеристик игрока,Кожні {0} вбивств викликає вашого клона який переміщається поряд з вами і стріляє у ворогів двома пістолетами кулеметами. Копія залежить від характеристик гравця
EFFECT_CLONE_TWO,Every {0} kills generates your clone that moves near you and shoots into enemies with 2 [color=#00ff00]tier 2[/color] smgs. Scales from player stats,Каждые {0} убийств вызывает вашего клона который перемещается рядом с вами и стреляет во врагов двумя пистолетами пулемётами [color=#00ff00]2 тира[/color]. Копия зависит от характеристик игрока,Кожні {0} вбивств викликає вашого клона який переміщається поряд з вами і стріляє у ворогів двома пістолетами кулеметами [color=#00ff00]2 тира[/color]. Копія залежить від характеристик гравця
EFFECT_CLONE_THREE,Every {0} kills generates your clone that moves near you and shoots into enemies with 2 [color=#00ff00]tier 3[/color] smgs. Scales from player stats,Каждые {0} убийств вызывает вашего клона который перемещается рядом с вами и стреляет во врагов двумя пистолетами пулемётами [color=#00ff00]3 тира[/color]. Копия зависит от характеристик игрока,Кожні {0} вбивств викликає вашого клона який переміщається поряд з вами і стріляє у ворогів двома пістолетами кулеметами [color=#00ff00]3 тира[/color]. Копія залежить від характеристик гравця
EFFECT_CLONE_FOUR,Every {0} kills generates your clone that moves near you and shoots into enemies with 2 [color=#00ff00]tier 4[/color] smgs. Scales from player stats,Каждые {0} убийств вызывает вашего клона который перемещается рядом с вами и стреляет во врагов двумя пистолетами пулемётами [color=#00ff00]4 тира[/color]. Копия зависит от характеристик игрока,Кожні {0} вбивств викликає вашого клона який переміщається поряд з вами і стріляє у ворогів двома пістолетами кулеметами [color=#00ff00]4 тира[/color]. Копія залежить від характеристик гравця
WEP_CLONE_GUN,Clone Gun,Клонирующая Пушка,Клонуючий пістолет
WEP_CONTROLLER,Drone Controller,Контроллер Дронов,Контролер дронів
WEP_INSECT_STAFF,Staff Of Insects,Посох Насекомых,Посох Комах
EFFECT_FLY_SUM,Summons a walking companion that fires its maggots at enemies for {0} ({1}) damage. Maggots create homing flies ([color=#00ff00]1[/color]) when they hit an enemy.,Вызывает передвигающегося компаньона который стреляет личинками во врагов нанося {0} ({1}) урона. Личинки создают самонаводящихся мух ([color=#00ff00]1[/color]) при попадании во врага.,Викликає пішого компаньйона який стріляє личинками у ворогів завдаючи {0} ({1}) шкоди. Личинки створюють самонавідних мух ([color=#00ff00]1[/color]) при попаданні у ворога.
EFFECT_FLY_SUM_T2,Summons a walking companion that fires its maggots at enemies for {0} ({1}) damage. Maggots create homing flies ([color=#00ff00]2[/color]) when they hit an enemy.,Вызывает передвигающегося компаньона который стреляет личинками во врагов нанося {0} ({1}) урона. Личинки создают самонаводящихся мух ([color=#00ff00]2[/color]) при попадании во врага.,Викликає пішого компаньйона який стріляє личинками у ворогів завдаючи {0} ({1}) шкоди. Личинки створюють самонавідних мух ([color=#00ff00]2[/color]) при попаданні у ворога.
EFFECT_FLY_SUM_T3,Summons a walking companion that fires its maggots at enemies for {0} ({1}) damage with [color=#00ff00]1[/color] piercing. Maggots create homing flies ([color=#00ff00]3[/color]) when they hit an enemy.,Вызывает передвигающегося компаньона который стреляет личинками во врагов нанося {0} ({1}) урона с [color=#00ff00]1[/color] пробиванием. Личинки создают самонаводящихся мух ([color=#00ff00]3[/color]) при попадании во врага.,Викликає пішого компаньйона який стріляє личинками у ворогів завдаючи {0} ({1}) шкоди з [color=#00ff00]1[/color] пробиванням. Личинки створюють самонавідних мух ([color=#00ff00]3[/color]) при попаданні у ворога.
EFFECT_FLY_SUM_T4,Summons a walking companion that fires its maggots at enemies for {0} ({1}) damage with [color=#00ff00]1[/color] piercing. Maggots create homing flies ([color=#00ff00]4[/color]) when they hit an enemy.,Вызывает передвигающегося компаньона который стреляет личинками во врагов нанося {0} ({1}) урона с [color=#00ff00]1[/color] пробиванием. Личинки создают самонаводящихся мух ([color=#00ff00]4[/color]) при попадании во врага.,Викликає пішого компаньйона який стріляє личинками у ворогів завдаючи {0} ({1}) шкоди з [color=#00ff00]1[/color] пробиванням. Личинки створюють самонавідних мух ([color=#00ff00]4[/color]) при попаданні у ворога.
ITEM_SYMBIOSIS,Symbiosis,Симбиоз,Симбіоз
ITEM_HELLFIRE,Hellfire,Адское Пламя,Пекельне полум'я
ITEM_HERITAGE,Heritage,Наследие,Спадщина
ITEM_UNFORGETTABLE_BOOK,Unforgettable Book,Незабытая Книга,Незабутня Книга
EFFECT_BUB_SOUL,[color=#00ff00]+2[/color] flies on enemy death,[color=#00ff00]+2[/color] мухи при смерти врага,[color=#00ff00]+2[/color] мухи при смерті ворога
ITEM_BROTATO_SOUL,Brotato Soul,Душа Бротошки,Душа бротоплі
WEP_BESTIARY,Bestiary,Бестиарий,Бестіарій
EFFECT_ILLUSIONIST_SOUL,[color=#00ff00]+1[/color] clone,[color=#00ff00]+1[/color] клон,[color=#00ff00]+1[/color] клон
EFFECT_GLITCHED_SOUL,SDGS73509ad???9s0-620-048E??????0G92=S0-A-2849EFDSJA2FGGVXS????,SDGS73509ad???9s0-620-048E??????0G92=S0-A-2849EFDSJA2FGGVXS????,SDGS73509ad???9s0-620-048E??????0G92=S0-A-2849EFDSJA2FGGVXS????
EFFECT_ROCKET_ORBITAL,Spawns a companion that flies around you and shoots enemies with explosive homing rockets for {0} ({1}) damage,Создаёт компаньона который летает вокруг тебя и стреляет взрывными самонаводящимися ракетами во врагов нанося {0} ({1}) урона,"Створює компаньйона, який літає навколо тебе і стріляє вибуховими ракетами, що самонаводяться та завдають {0} ({1}) шкоди"
EFFECT_TAGGED_BONUS,Get a certain amount of stats you're tagged for. stats obtained :,Получите некоторое количество показателей к которым вы отмечены. Полученные показатели:,Отримайте кілька показників до яких ви відзначені. Отримані показники:
EFFECT_CHAR_SPECIAL,Unique character effect:,Особый эффект персонажа:,Особливий ефект персонажа:
STAT_LEVELS,Level,Уровень персонажа,Рівень персонажа
EFFECT_DOUBLE_ILL_CLONE,Has [color=#00ff00]11[/color] clones that copy his weapons and scale from player stats,Имеет [color=#00ff00]11[/color] клонов которые копируют его оружие и характеристики,Має [color=#00ff00]11[/color] клонів які копіюють його зброю та характеристики
ITEM_BALANCE_ORB,Orb Of Balance,Сфера Баланса,Сфера Балансу
EFFECT_PLANT_SUM,[color=#00ff00]{5}%[/color] chance when picking up a consumable to summon a carnivorous plant. Shoots thorns at enemies for [color=#00ff00]{0}[/color] ({1}) damage but dies after {4} seconds,Шанс [color=#00ff00]{5}%[/color] при поднятии фрукта или ящика вызвать плотоядное растение. Стреляет колючками во врагов нанося [color=#00ff00]{0}[/color] ({1}) урона но погибает через {4} секунд,Шанс [color=#00ff00]{5}%[/color] при піднятті фрукта або ящика викликати м'ясоїдну рослину. Стріляє колючками у ворогів завдаючи [color=#00ff00]{0}[/color] ({1}) шкоди але гине через {4} секунд
CHAR_GARDENER,Gardener,Садовод,Садівник
ITEM_HEXONIUM_ARMOR,Hexonium Armor,Хексониумовые Доспехи,Хексоніумові Обладунки
ITEM_BROTATO_CURSE,Brotato Curse,Проклятие Бротошки,Прокляття Бротоплі
EFFECT_TAGGED_DEBUFF,lose a certain amount of stats you're tagged for. stats lost :,Потеряйте некоторое количество показателей к которым вы отмечены. Потерянные показатели:,Втратьте деяку кількість показників до яких ви відзначені. Втрачені показники:
EFFECT_PLANT_SUM_T2,[color=#00ff00]{5}%[/color] chance when picking up a consumable to summon a Tier 2 carnivorous plant. Shoots seeds at enemies for [color=#00ff00]{0}[/color] ({1}) damage and dies after {4} seconds. Seeds hitting enemies create one homing plant,Шанс [color=#00ff00]{5}%[/color] при поднятии фрукта или ящика вызвать плотоядное растение второго тира. Стреляет семечками во врагов нанося [color=#00ff00]{0}[/color] ({1}) урона и погибает через {4} секунд. Семечки попадая во врагов создают одно самонаводящееся растение,Шанс [color=#00ff00]{5}%[/color] при піднятті фрукта або ящика викликати м'ясоїдну рослину другого тиру. Стріляє насінням у ворогів завдаючи [color=#00ff00]{0}[/color] ({1}) шкоди але гине через {4} секунд. Насіння потрапляючи у ворогів створюють одну самонаводну рослину
